,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
GDP_per_capita,0.8715463210980783,0.907034184814976,0.9869617272533711,0.9869632097722273,0.9953348389165335,1.0080239074947186,1.0126566832204678,1.024229483703416,1.0284424129663956,1.0384615384615394
Unemployment_rate,0.12497965411448789,0.5927059711122387,0.5927066232565924,0.7325351127803834,1.0250193710626858,1.0329805966912262,1.0375682146595377,1.037970547191146,1.0382757716172935,1.038461538461538
Inflation_rate,0.24074650199613706,0.7677750941906887,0.768562529760664,0.7857135954878264,0.9030412352210615,1.022740821290336,1.0354133094999767,1.0377764323318817,1.0384085754482464,1.0384615384615397
Public_debt,0.13127869124797964,0.7310347052613619,0.7561231394869609,0.8766058775198664,0.934962502587694,0.990332339526169,1.0336285637267462,1.0353265710237032,1.038455213476014,1.0384615384615397
Current_account,0.5502779893328748,0.6229151021309176,0.6377418731870726,0.9529721003703515,0.9706815154808073,0.9928689996119139,1.0222403560111433,1.0228448180396204,1.0365183282190207,1.0384615384615388
Export_growth,0.333461070207489,0.5569634839005457,0.7004378574814318,0.9957995373921222,0.9976908367849003,1.0032612256253401,1.007619993258239,1.0323587494639777,1.0358398809354927,1.038461538461539
Import_growth,0.5587587241457025,0.6848951642350746,0.8159640050830138,0.9574743885224714,0.9666590101879363,0.9715407490155865,1.0098909344991978,1.0361083611608664,1.0366218251636536,1.0384615384615388
FDI_inflows,0.3051356987191256,0.31480460557048995,0.9322593262152171,0.9808551239096228,0.9838154341223686,1.007617103752313,1.0106474586887422,1.0278988454407632,1.0357345191761416,1.0384615384615397
R_D_expenditure,0.2129050635579842,0.27945190175591705,0.8826389786394165,0.9223886118115142,0.9224960141831019,0.9898106786299846,1.0291613326946967,1.0379726624832073,1.0382844825804827,1.0384615384615392
Labor_productivity,0.850387718320304,0.9324367347334038,0.9658645742668571,0.9661562366106762,0.9729320505167585,0.9896387554988716,0.9934288167319978,0.9975356662405263,1.0368030656699592,1.038461538461538
