,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
GDP_per_capita,0.9335664524275057,0.18838222770977564,0.2827145953756102,-0.0012175873094849418,0.09149660728303671,0.11264576591326082,-0.06806449680816834,0.10757695144847862,-0.06490708176292932,0.10009558179632046
Unemployment_rate,-0.35352461599510704,0.6839051959136959,-0.0008075545515736414,-0.3739364779261192,0.5408181379006277,-0.08922570049341429,-0.06773195677308885,-0.020058228526172985,-0.017470673316943193,-0.013629631111832314
Inflation_rate,-0.49065925243098907,-0.7259673492620392,-0.02806128240076179,0.13096207743909072,0.34253122446462475,0.34597627963384214,0.1125721466866504,0.04861196181913402,-0.025142456450487467,-0.007277569188496856
Public_debt,-0.36232401417512977,0.7744391609502855,-0.15839328971139832,-0.3471062345059586,-0.24157115942890936,0.2353079619105036,0.20807744760203406,0.04120688409667835,-0.05593426903349048,-0.0025149523902978053
Current_account,0.741807245403329,0.26951273216314453,-0.12176522925759674,0.5614536732298391,0.13307672640419044,-0.14895463783013485,0.17138073520448405,0.024585809494036825,-0.11693378544886128,-0.04408185842858878
Export_growth,-0.5774608819716613,0.4727604189153918,0.37878011244109183,0.5434718759151115,0.04348907210757841,0.07463503761933614,0.06602096358656742,-0.15728558804206655,0.059001114154861874,0.05120212423372861
Import_growth,-0.7475016549451262,0.3551569231894151,0.36203430893761884,0.37617865893675784,-0.09583643182769754,0.06986944130054433,-0.19583203385455417,0.1619179627517237,-0.022659744102423527,-0.04289187916010682
FDI_inflows,0.5523908930450661,-0.09833059977120216,0.7857828711830814,-0.22044454562180857,-0.05440873287208389,0.1542778974122484,-0.055048659715102886,-0.13134453453425832,-0.08851934102431233,-0.052220870209122514
R_D_expenditure,0.4614163668076634,0.2579667385496295,-0.7766511938338211,0.19937310042254378,-0.01036351154713959,0.25945069752629824,-0.19836999285353643,-0.09386868374761906,-0.017658428505258637,-0.013306234668623795
Labor_productivity,0.9221646915385039,0.28644199484904415,0.18283281853500288,0.017078124716110983,0.08231533214463925,0.12925441958445014,0.06156347320551536,0.06408470573021659,0.1981600348946098,-0.04072435133404758
