Componenta,Valoare_proprie,Varianta_explicata,Varianta_cumulata
C1,4.179477432740164,40.24681972268306,40.24681972268306
C2,2.210539514965447,21.286676810778378,61.53349653346143
C3,1.6492436869249814,15.881605874092413,77.41510240755385
C4,1.1182031595464643,10.7678822771141,88.18298468466794
C5,0.5151690148867863,4.960886810020906,93.14387149468885
C6,0.3361823680726117,3.237311692551076,96.38118318723993
C7,0.1834404858542857,1.7664639378560845,98.14764712509601
C8,0.09776647408836273,0.9414549356657151,99.08910206076173
C9,0.07336193817359192,0.7064482935234777,99.79555035428521
C10,0.021231309362690295,0.20444964571479543,100.0
