,KMO
Early_school_leaving,0.44912367955804605
Tertiary_education,0.7640426848737479
NEET_rate,0.7530617216894103
Employment_rate_graduates,0.6451335357681053
Early_childhood_education,0.6895864777325813
Adult_learning,0.7142009640447337
Public_expenditure_education,0.8787125367449171
Expenditure_per_student,0.8647235220289212
Pupil_teacher_ratio_primary,0.557915565417307
Pupil_teacher_ratio_secondary,0.41528089806085505
Low_reading_PISA,0.6664208616854277
Low_math_PISA,0.6877021361363027
