,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Austria,0.5598853601963443,0.5225297849975317,-0.9784049093189989,0.5178792752665599,-0.5615776833463787,0.8273384332713914,-1.066994075322688,0.11580495389145289,0.4339650904282187,0.8129080507369255
Belgium,0.5532391898636814,0.5423144494196448,-1.1479890996489466,-0.31747650428547763,-0.37985352845173437,2.0798075063031174,-0.41019960370968145,-0.42396830972828753,0.45051811288546423,-0.6419859986775226
Bulgaria,-1.006009530051142,-0.8888345662091398,0.5970189742249554,1.2177337085117013,-0.19254257158836702,-1.4080833367491088,-0.6083716745548512,-0.4254020479784665,-1.1777349587959574,0.09260412275737802
Croatia,-1.4461519810585568,0.8303754788975843,1.0623245224926876,1.8954301096191555,-0.029789583640647817,-0.18217452315821783,-1.7110311704891705,0.5980195648612399,-0.4180834100749071,-1.3845407082092984
Cyprus,-0.5280129717813772,0.08856827410813237,1.3787709328997886,-1.2044278772349912,-1.0753433018595273,0.3540234841949942,-1.5022239951559306,-1.2418347609039118,-0.6095806580986084,-1.5592407248938198
Czechia,0.1914204808609232,-1.4414769755714054,-0.7086750725839319,0.051639277317722776,-0.43811786945674536,0.4860497030414912,1.112571258293371,-0.7706217752857499,-0.5955752571900254,-0.8118043686904056
Denmark,1.1230548521802168,0.4157028473650799,-0.6334894618615613,2.0486922118275674,0.6374282709979573,-0.8807577618892216,0.09699444251959852,0.6124078110676141,0.012500073442836846,1.0672665825787642
Estonia,0.005028087194049823,-1.862333903112745,-0.657463336907671,-0.6310856420677615,1.9494556982323812,0.6929313857034216,0.6798578590926794,-1.1655057593126272,-0.4018880601304529,-0.23549140118749892
Finland,0.7835095028213741,0.2664443644471776,-1.3135500076188626,-1.132418723424395,0.11229026195811624,-0.49037972942855396,-1.153876128356181,-0.02370392471089487,0.15117312411406736,0.7691122989923417
France,0.1958693061991856,1.0374534465546752,-0.6409132789173584,-0.8730328128787423,-0.5146952121970969,-0.3020488809428725,-0.005975981733465668,0.7403730384441604,1.3555732910647715,0.44742973315871193
Germany,0.9349648753845629,-0.1581683224507586,-1.4878392505873177,0.12719282963645082,-1.2876493893453318,-0.2540127644199291,-0.5250726869334716,0.9358428691930504,-0.5250893714559332,0.024849424402454377
Greece,-1.4394117038074359,1.8536008637207164,0.068479655777898,-1.3042522452234386,0.4154035247042083,1.0794022595231458,0.3199352325304739,0.3569190561416347,-1.3663691141185657,-0.20959029511141006
Hungary,-0.8016311373065362,-1.116731760015059,-0.032602016410625136,-0.3934930434957244,-0.48782296409143505,2.028726508513672,0.035894799260150226,-0.2315286398438977,0.5385677856783934,0.3068133057689126
Ireland,1.952009966926379,0.6659578166782669,2.4247489656478867,0.8706561654003582,0.2211167499781082,0.855103798625563,1.2121676805245754,-0.503259590740759,2.2168693885786537,-0.8880666432812155
Italy,-0.4435798821043239,1.3499082654406904,-0.17469725464906793,-0.4858346353506697,-0.3062929700697019,0.24145197829816958,1.7120319333175515,2.337986893118085,-0.2138917734603831,-1.0210593862333348
Latvia,-0.9091174993655403,-1.0437776560637329,0.27636820239681265,-0.3228721562574505,1.4851209009618929,-0.17269500800825074,0.41520182294353614,1.1307510026816492,-0.4647660820238468,0.3104517250972737
Lithuania,-1.1183800216935926,-0.8583596069855184,0.4962986395045023,0.8102956987078574,1.2910273504479741,1.3329572923982627,-0.7239006944694976,1.2149283171567375,1.3508999045695007,1.118849046775031
Luxembourg,2.4434862398481245,-0.29839946954170204,2.3554811913673057,-1.1301190807405026,0.46186059167800747,0.20128545219894345,-0.7362763844508394,0.8638035486815119,-2.283988069030484,1.2276024904465475
Malta,0.30345112440106453,-0.8272919980733959,0.562938234957509,-1.3269504848492573,-1.8590292852060306,-1.7363318011090645,0.13448301740230426,-0.4235084845805153,1.1830804565012394,-0.1368181164209141
Netherlands,0.8885618112301794,-0.10987977336140674,-0.36210461513200254,1.2200385647439016,-0.024363674802288744,-0.11787160552534534,1.2158936371905262,0.28831887701447,-0.8737380332287851,-0.17824429157669353
Poland,-0.5005352413039419,-0.7533742462969236,0.19642908608946655,1.1213529193020375,-0.7709406978862224,0.03257494775141455,0.8912555586214121,-1.1846929280033713,0.2719704308859905,0.010311353824429244
Portugal,-0.8105117796259134,1.0420762183133883,0.05524331037779115,0.39050256594085764,-1.2824422109228661,0.2957924770114894,1.1593671566680672,-1.7601525314951232,-0.9910488149392076,2.733468831461185
Romania,-1.0313946795265627,-0.8428989857742692,0.5709761552978128,-0.6711488747397996,-0.3558740217103022,-0.9855049973302787,-1.023913818135664,0.8174118145584867,1.6464932773972036,1.262845547256089
Slovakia,-0.23091069961062824,-0.8718911823502731,-0.36704665256872715,-0.9988167088486013,0.3403645163157513,-1.4535268482266444,1.434583356288316,0.8922710509508358,0.09039870156775838,-1.0103766349633534
Slovenia,-0.09735159689431126,0.14532780759389477,-0.4220711005798902,1.0317518801238221,-0.9383171444523443,-0.4793361010892962,0.15334000566393152,0.11387775526184948,-0.5389197283715508,-1.1855028765348536
Spain,-0.6214809308411339,2.071208205880528,0.18681106761079594,-0.6130762629999478,2.0279457534877774,-1.5329548232797539,0.6097637765886569,-1.7705208034162538,0.6355939852472505,0.29128001728056435
Sweden,1.0499988578649146,0.24195062238902115,-1.3050428818602497,0.10183984599877102,1.5626384902648278,-0.5117670456785643,-1.7155053235937188,-1.0940169970229583,0.1230697085573879,-1.2130710847562645
