Componenta,Valoare_proprie,Varianta_explicata,Varianta_cumulata
C1,5.595527700300178,44.902382780186635,44.902382780186635
C2,1.9710530131443875,15.817092080788301,60.719474860974934
C3,1.4145320213565131,11.351182887428815,72.07065774840375
C4,1.0093511353530358,8.09973133307992,80.17038908148366
C5,0.7423610587972633,5.957218373064461,86.12760745454813
C6,0.677614084006231,5.437643884000622,91.56525133854875
C7,0.3766597508299353,3.0225782474007166,94.58782958594946
C8,0.29085857709419544,2.3340503100151495,96.92187989596461
C9,0.16176762920510201,1.2981352960903254,98.22001519205493
C10,0.14672303875262538,1.1774071011013152,99.39742229315624
C11,0.053622369513837836,0.4303029652345013,99.82772525839074
C12,0.021468083185154287,0.17227474160926287,100.0
