,GDP_per_capita,Unemployment_rate,Inflation_rate,Public_debt,Current_account,Export_growth,Import_growth,FDI_inflows,R_D_expenditure,Labor_productivity
GDP_per_capita,0.9999999999999999,-0.1534211601012745,-0.5143484830159386,-0.22982835777765667,0.6719012975190596,-0.3383327540428054,-0.4834225593635276,0.6953813357873456,0.28026238975024614,0.938299827951857
Unemployment_rate,-0.1534211601012745,1.0,-0.21730779555306773,0.5990658971303088,-0.20412130105760587,0.3252454594311844,0.30730764113004666,-0.2073301044712836,-0.07084392566014594,-0.10787100917263252
Inflation_rate,-0.5143484830159386,-0.21730779555306776,1.0,-0.3851236916684406,-0.44767105127451834,0.03786511455459797,0.1214260199010918,-0.2174440397133106,-0.29457884232444775,-0.5633678227963259
Public_debt,-0.22982835777765664,0.5990658971303088,-0.3851236916684406,0.9999999999999998,-0.24991133657694445,0.3250936047765809,0.35134556199319855,-0.275964287398004,0.10192112103454577,-0.12728363694841427
Current_account,0.6719012975190597,-0.20412130105760584,-0.44767105127451834,-0.24991133657694442,0.9999999999999999,-0.047162182418553335,-0.32727318765061236,0.1286366809338166,0.5244647446314905,0.7039695380316715
Export_growth,-0.3383327540428054,0.3252454594311844,0.03786511455459797,0.3250936047765809,-0.047162182418553335,0.9999999999999998,0.8669058688580811,-0.16308876069891282,-0.29992631327090247,-0.2905669365499634
Import_growth,-0.4834225593635276,0.30730764113004666,0.1214260199010918,0.35134556199319855,-0.32727318765061236,0.866905868858081,1.0,-0.2277691453239063,-0.4003281457373114,-0.49905807550125214
FDI_inflows,0.6953813357873456,-0.2073301044712836,-0.21744403971331064,-0.275964287398004,0.1286366809338166,-0.16308876069891282,-0.2277691453239063,0.9999999999999998,-0.3453332062861048,0.5868040263567876
R_D_expenditure,0.28026238975024614,-0.07084392566014593,-0.2945788423244477,0.10192112103454576,0.5244647446314905,-0.29992631327090247,-0.40032814573731146,-0.34533320628610487,1.0,0.3585100078692762
Labor_productivity,0.9382998279518568,-0.10787100917263252,-0.5633678227963259,-0.1272836369484143,0.7039695380316714,-0.29056693654996335,-0.4990580755012522,0.5868040263567877,0.3585100078692763,0.9999999999999999
