Factor,Varianta,Proportie,Cumulata
F1,2.522155155289708,0.21017959627414232,0.21017959627414232
F2,2.4563805649619233,0.2046983804134936,0.41487797668763593
F3,1.9733581073909614,0.16444650894924678,0.5793244856368827
F4,1.6547537747745424,0.13789614789787855,0.7172206335347612
